OBJECTID;cdestacao;ano;sguf;entidade;corpodagua;ambiente;nuecoli;medecoli;minecoli;maxecoli;devecoli;latitude;longitude
1;CRBCRT700;2020;BA;INEMA;Corrente;1;6,000000000000000;3493,000000000000000;20,000000000000000;16000,000000000000000;6266,284864260000177;-13,293139000000000;-43,908583000000000
2;LESRCH500;2020;BA;INGÁ;Rio Cachoeira;1;6,000000000000000;7615,000000000000000;490,000000000000000;16000,000000000000000;6758,561237419999998;-14,898000000000000;-39,427638999999999
3;PRGPRT600;2020;BA;INEMA;Preto;1;6,000000000000000;2771,000000000000000;20,000000000000000;16000,000000000000000;6481,763062619999801;-12,502083000000001;-41,572916999999997
4;64474900;2020;PR;Águas Paraná;Rio Iapó;1;6,000000000000000;953,333333329999959;100,000000000000000;2600,000000000000000;919,949273960000028;-24,749700000000001;-50,088900000000002
5;64775000;2020;PR;Águas Paraná;Rio Cantu;1;6,000000000000000;755,000000000000000;100,000000000000000;3300,000000000000000;1280,527235170000040;-24,748600000000000;-52,702800000000003
6;14690001;2020;RR;FEMARH;MUCAJAÍ;1;3,000000000000000;864,000000000000000;66,000000000000000;2419,000000000000000;1346,825526930000024;2,471400000000000;-60,917800000000000
7;UARE04550;2020;SP;CETESB;Córrego do Jaguaré;1;17,000000000000000;2992941,176470590289682;520000,000000000000000;7900000,000000000000000;1844911,124911859864369;-23,567499999999999;-46,756944000000004
8;UNNA02800;2020;SP;CETESB;Rio Una - UGRHI 02;1;9,000000000000000;3462,222222220000276;460,000000000000000;11000,000000000000000;3260,052828469999895;-23,030277999999999;-45,507221999999999
9;VEAD02950;2020;SP;CETESB;Ribeirão do Veado;1;7,000000000000000;23,285714289999998;12,000000000000000;40,000000000000000;10,719363880000001;-21,720800000000001;-52,035299999999999
10;VEME04250;2020;SP;CETESB;Ribeirão Vermelho ou Mutinga;1;7,000000000000000;11077,142857139999251;600,000000000000000;38000,000000000000000;13888,304089279999971;-23,463888999999998;-46,754167000000002
11;VERD02750;2020;SP;CETESB;Rio Verde;1;8,000000000000000;2307,125000000000000;1,000000000000000;8600,000000000000000;3194,006952199999887;-23,706944000000000;-49,471111000000001
12;VIDK04900;2020;SP;CETESB;Córrego do Vidoca;1;10,000000000000000;36080,000000000000000;9100,000000000000000;70000,000000000000000;19029,906288090001908;-23,188300000000002;-45,915799999999997
13;VVEM04700;2020;SP;CETESB;Ribeirão Vai-e-Vem;1;9,000000000000000;5185,777777779999269;128,000000000000000;44000,000000000000000;14557,913876800001162;-22,060556000000002;-51,704166999999998
14;XOTE02500;2020;SP;CETESB;Córrego do Baixote;1;8,000000000000000;3060,250000000000000;110,000000000000000;13100,000000000000000;5229,269759179999710;-21,310278000000000;-50,310555999999998
15;XPIM00700;2020;SP;CETESB;Córrego do Crispim;1;5,000000000000000;254600,000000000000000;23000,000000000000000;540000,000000000000000;226121,206435839994811;-23,752800000000001;-46,788899999999998
16;YTAI00900;2020;SP;CETESB;Córrego ITAIM;1;5,000000000000000;759200,000000000000000;46000,000000000000000;2400000,000000000000000;945580,879671329981647;-23,781099999999999;-46,725299999999997
17;ZVUS04950;2020;SP;CETESB;Córrego Zavuvus;1;14,000000000000000;4053571,428571430034935;320000,000000000000000;11000000,000000000000000;3158226,394045230001211;-23,676389000000000;-46,701110999999997
18;Alto Lindo – TO;2020;TO;BRK AMBIENTAL SANETINS;BN Zuador;2;2,000000000000000;10,000000000000000;10,000000000000000;10,000000000000000;0,000000000000000;-8,226100000000001;-47,453400000000002
19;Colméia – TO;2020;TO;BRK AMBIENTAL SANETINS;Represa Garrafinha;2;2,000000000000000;91,500000000000000;10,000000000000000;173,000000000000000;115,258405329999988;-8,447600000000000;-48,462699999999998
20;Combinado – TO;2020;TO;BRK AMBIENTAL SANETINS ;Rio Palmas;1;2,000000000000000;408,000000000000000;146,000000000000000;670,000000000000000;370,523953340000048;-12,689100000000000;-46,546100000000003
21;Cristalândia – TO;2020;TO;BRK AMBIENTAL SANETINS;Rio Urubuzinho;1;3,000000000000000;192,000000000000000;10,000000000000000;556,000000000000000;315,233246979999990;-10,370799999999999;-49,111699999999999
22;Cristalândia – TO;2020;TO;BRK AMBIENTAL SANETINS;Rio Urubuzinho;1;3,000000000000000;192,000000000000000;10,000000000000000;556,000000000000000;315,233246979999990;-10,370799999999999;-49,111699999999999
23;Dianópolis – TO;2020;TO;BRK AMBIENTAL SANETINS;Ribeirão Morena;1;2,000000000000000;10,000000000000000;10,000000000000000;10,000000000000000;0,000000000000000;-11,312400000000000;-46,474699999999999
24;12369000;2020;AC;SEMA;Rio Juruá;1;2,000000000000000;8,699999999999999;1,000000000000000;16,399999999999999;10,889444430000001;-8,936400000000001;-72,770612999999997
25;12389000;2020;AC;SEMA;Rio Juruá;1;2,000000000000000;6,050000000000000;1,000000000000000;11,100000000000000;7,141778490000000;-8,253949000000000;-72,733585000000005
26;12430000;2020;AC;Sema;Rio Moa;1;2,000000000000000;10,100000000000000;1,000000000000000;19,199999999999999;12,869343420000002;-7,601077000000000;-72,718731000000005
27;12500004;2020;AC;Sema;Rio Juruá;1;2,000000000000000;27,050000000000001;1,000000000000000;53,100000000000001;36,840263300000004;-7,634538000000000;-72,660665000000009
28;12600002;2020;AC;Sema;Rio Tarauacá;1;2,000000000000000;11,600000000000000;1,000000000000000;22,199999999999999;14,990663760000000;-8,151916670000000;-70,745666669999991
29;12660000;2020;AC;Sema;Rio Envira;1;2,000000000000000;16,699999999999999;1,000000000000000;32,399999999999999;22,203152929999998;-8,166833330000001;-70,389583329999994
30;13190000;2020;AC;Sema;Rio Purus;1;10,000000000000000;1,900000000000000;1,000000000000000;10,000000000000000;2,846049890000000;-8,888583000000001;-69,276055999999997
31;13408000;2020;AC;Sema;Rio Iaco;1;2,000000000000000;2,600000000000000;1,000000000000000;4,200000000000000;2,262741700000000;-9,081061000000000;-68,661653000000001
32;13438000;2020;AC;Sema;Rio Acre;1;2,000000000000000;13,199999999999999;1,000000000000000;25,399999999999999;17,253405460000000;-10,944611000000000;-69,566693999999998
33;13459000;2020;AC;Sema;Rio Acre;1;2,000000000000000;16,699999999999999;1,000000000000000;32,399999999999999;22,203152929999998;-11,017638999999999;-68,745166999999995
34;13550001;2020;AC;Sema;Rio Acre;1;2,000000000000000;35,350000000000001;1,000000000000000;69,700000000000003;48,578235870000000;-10,649917000000000;-68,506583000000006
35;15324300;2020;AC;Sema;Rio Abunã;1;2,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;0,000000000000000;-10,337694000000001;-67,183806000000004
36;CNDCER002;2020;BA;INEMA;Açude Ceraíma;2;5,000000000000000;123,200000000000003;18,000000000000000;490,000000000000000;205,491362350000003;-14,284444000000001;-42,680556000000003
37;CNDRSF300;2020;BA;INGÁ;Rio São Francisco;1;6,000000000000000;977,166666670000041;40,000000000000000;4500,000000000000000;1759,137335930000063;-12,688222000000000;-43,188667000000002
38;CONANT100;2020;BA;INEMA;do Antônio;1;5,000000000000000;13500,000000000000000;3500,000000000000000;16000,000000000000000;5590,169943750000130;-14,506111000000001;-42,225000000000001
39;CONBAG001;2020;BA;INEMA;Barragem Anagé;2;6,000000000000000;559,666666670000041;18,000000000000000;1300,000000000000000;599,059818940000014;-14,731000000000000;-41,255000000000003
40;CONBAG002;2020;BA;INEMA;Barragem Anagé;2;6,000000000000000;317,666666670000041;18,000000000000000;1700,000000000000000;678,126143619999993;-14,689000000000000;-41,223610000000001
41;CONBAG003;2020;BA;INEMA;Barragem Anagé;2;6,000000000000000;3227,666666669999813;18,000000000000000;16000,000000000000000;6295,753415329999370;-14,632999999999999;-41,187219999999996
42;CONBAT001;2020;BA;INEMA;de Contas;1;6,000000000000000;478,833333330000016;18,000000000000000;2400,000000000000000;942,821386409999945;-14,220592000000000;-41,661563999999998
