OBJECTID;cdestacao;ano;sguf;entidade;corpodagua;ambiente;nuod;medod;minod;maxod;devod;latitude;longitude
1;13459000;2020;AC;Sema;Rio Acre;1;5,000000000000000;6,780000000000000;6,180000000000000;7,500000000000000;0,525214000000000;-11,017638999999999;-68,745166999999995
2;RCNSAU800;2020;BA;INEMA;Sauípe;1;2,000000000000000;5,930000000000000;5,890000000000000;5,970000000000000;0,056569000000000;-12,014444000000001;-38,238056000000000
3;VJRVRD650;2020;BA;INGÁ;Rio Verde;1;2,000000000000000;2,015000000000000;1,450000000000000;2,580000000000000;0,799031000000000;-10,984778000000000;-42,343444000000005
4;00MS15RV2344;2020;MS;IMASUL;Rio Verde;1;5,000000000000000;7,640000000000000;6,600000000000000;8,400000000000000;0,654217000000000;-19,377563000000002;-53,571244000000000
5;14680002;2020;RR;FEMARH;RIO MUCAJAÍ;1;6,000000000000000;6,995000000000000;6,290000000000000;7,700000000000000;0,495045000000000;2,870800000000000;-61,440600000000003
6;88549000;2020;RS;FEPAM;Rio Piratini;1;5,000000000000000;9,337999999999999;8,470000000000001;10,310000000000000;0,733192000000000;-31,715800000000002;-52,900399999999998
7;PARN02740;2020;SP;CETESB;Rio Paraná;1;7,000000000000000;7,328571000000000;6,000000000000000;8,000000000000000;0,756559000000000;-21,847799999999999;-52,185800000000000
8;26799000;2020;TO;SEMARH - TOCANTINS ;Rio Formoso;1;5,000000000000000;7,124000000000000;6,540000000000000;7,740000000000000;0,483766000000000;-10,582844000000001;-49,930538000000006
9;26800001;2020;TO;SEMARH - TOCANTINS ;Rio Javaés;1;5,000000000000000;7,126000000000000;6,190000000000000;7,760000000000000;0,578904000000000;-10,561446000000000;-49,935906999999993
10;27500001;2020;TO;SEMARH - TOCANTINS ;Rio Araguaia;1;4,000000000000000;6,527500000000000;4,620000000000000;8,190000000000000;1,726391000000000;-8,362454999999999;-49,274836000000001
11;28200001;2020;TO;SEMARH - TOCANTINS ;Rio Lontra;1;4,000000000000000;23,645000000000000;4,270000000000000;80,540000000000006;37,931170999999999;-7,207548999999999;-48,296281999999998
12;28270000;2020;TO;SEMARH - TOCANTINS ;Rio Lontra;1;4,000000000000000;57,210000000000001;6,320000000000000;110,209999999999994;58,551124999999999;-6,565973000000001;-48,635905000000001
13;28300001;2020;TO;SEMARH - TOCANTINS ;Rio Araguaia;1;4,000000000000000;7,172500000000000;5,560000000000000;8,930000000000000;1,554378000000000;-6,402869000000000;-48,529668000000001
14;28321000;2020;TO;SEMARH - TOCANTINS;RIO CORDA;1;4,000000000000000;6,595000000000000;4,460000000000000;8,289999999999999;1,784012000000000;-6,356800000000000;-48,352070999999995
15;28845000;2020;TO;SEMARH - TOCANTINS ;Rio São Martinho;1;4,000000000000000;7,385000000000000;6,640000000000000;7,910000000000000;0,559434000000000;-5,789201000000000;-48,177341000000006
16;28850001;2020;TO;SEMARH - TOCANTINS ;Rio Araguaia;1;4,000000000000000;7,475000000000000;6,430000000000000;8,880000000000001;1,104732000000000;-5,709506000000000;-48,172128000000001
17;12369000;2020;AC;SEMA;Rio Juruá;1;4,000000000000000;6,385000000000000;5,960000000000000;7,070000000000000;0,483632000000000;-8,936400000000001;-72,770612999999997
18;12389000;2020;AC;SEMA;Rio Juruá;1;4,000000000000000;6,175000000000000;5,750000000000000;6,510000000000000;0,379517000000000;-8,253949000000000;-72,733585000000005
19;12430000;2020;AC;Sema;Rio Moa;1;5,000000000000000;5,378000000000000;3,860000000000000;6,790000000000000;1,419250000000000;-7,601077000000000;-72,718731000000005
20;12500004;2020;AC;Sema;Rio Juruá;1;5,000000000000000;5,766000000000000;4,490000000000000;7,420000000000000;1,116906000000000;-7,634538000000000;-72,660665000000009
21;12557000;2020;AC;SEMA;Rio Tarauacá;1;4,000000000000000;7,537500000000000;7,300000000000000;7,830000000000000;0,222467000000000;-9,188300000000000;-71,952500000000001
22;12600002;2020;AC;Sema;Rio Tarauacá;1;5,000000000000000;6,934000000000000;6,150000000000000;8,390000000000001;0,859116000000000;-8,151916670000000;-70,745666669999991
23;12660000;2020;AC;Sema;Rio Envira;1;5,000000000000000;6,580000000000000;5,380000000000000;7,670000000000000;0,814402000000000;-8,166833330000001;-70,389583329999994
24;13169900;2020;AC;SEMA;Rio Purus;1;4,000000000000000;7,002500000000000;6,190000000000000;7,700000000000000;0,620880000000000;-9,434260000000000;-70,494190000000003
25;13190000;2020;AC;Sema;Rio Purus;1;18,000000000000000;5,551111000000000;3,730000000000000;7,940000000000000;1,053872000000000;-8,888583000000001;-69,276055999999997
26;13408000;2020;AC;Sema;Rio Iaco;1;5,000000000000000;6,942000000000000;3,750000000000000;9,340000000000000;2,129840000000000;-9,081061000000000;-68,661653000000001
27;13438000;2020;AC;Sema;Rio Acre;1;5,000000000000000;7,330000000000000;6,480000000000000;8,350000000000000;0,736648000000000;-10,944611000000000;-69,566693999999998
28;13550001;2020;AC;Sema;Rio Acre;1;5,000000000000000;6,712000000000000;5,950000000000000;7,480000000000000;0,553417000000000;-10,649917000000000;-68,506583000000006
29;13601000;2020;AC;Sema;Rio Acre;1;5,000000000000000;6,322000000000000;5,380000000000000;6,930000000000000;0,612103000000000;-9,957833000000001;-67,778222000000000
30;13610001;2020;AC;Sema;Rio Acre;1;5,000000000000000;5,998000000000000;5,320000000000000;6,370000000000000;0,428334000000000;-9,590667000000000;-67,532944000000001
31;13770000;2020;AC;Sema;Rio Iquiri;1;5,000000000000000;5,474000000000000;4,590000000000000;6,240000000000000;0,686098000000000;-9,590722000000000;-67,532888999999997
32;15324300;2020;AC;Sema;Rio Abunã;1;5,000000000000000;5,686000000000000;4,420000000000000;7,060000000000000;1,234273000000000;-10,337694000000001;-67,183806000000004
33;39622000;2020;AL;SEMARH;Rio Manguaba;1;2,000000000000000;6,150000000000000;5,800000000000000;6,500000000000000;0,494975000000000;-9,010800000000000;-35,435600000000001
34;39650010;2020;AL;SEMARH;Rio Camaragibe;1;2,000000000000000;5,700000000000000;5,100000000000000;6,300000000000000;0,848528000000000;-9,159200000000000;-35,539700000000003
35;39652010;2020;AL;SEMARH;Rio Meirim;1;2,000000000000000;8,085000000000001;7,570000000000000;8,600000000000000;0,728320000000000;-9,443899999999999;-35,731600000000000
36;39740010;2020;AL;SEMARH;Rio Mundaú;1;2,000000000000000;7,460000000000000;7,420000000000000;7,500000000000000;0,056569000000000;-9,154900000000000;-36,035699999999999
37;39761600;2020;AL;SEMARH;Rio dos Remédios;1;2,000000000000000;6,495000000000000;6,400000000000000;6,590000000000000;0,134350000000000;-9,660299999999999;-35,810200000000002
38;39762000;2020;AL;SEMARH;Rio Jacarecica;1;2,000000000000000;4,900000000000000;2,600000000000000;7,200000000000000;3,252691000000000;-9,595300000000000;-35,706600000000002
39;39762100;2020;AL;SEMARH;Rio Pratagy;1;2,000000000000000;5,400000000000000;5,100000000000000;5,700000000000000;0,424264000000000;-9,530300000000000;-35,689399999999999
40;39770010;2020;AL;SEMARH;Rio Mundaú;1;2,000000000000000;3,610000000000000;3,200000000000000;4,020000000000000;0,579828000000000;-9,467600000000001;-35,859999999999999
41;39840000;2020;AL;SEMARH;Rio Paraiba;1;2,000000000000000;8,100000000000000;7,300000000000000;8,900000000000000;1,131371000000000;-9,301600000000001;-36,482599999999998
42;39870001;2020;AL;SEMARH;Rio Paraíba;1;2,000000000000000;4,480000000000000;1,800000000000000;7,160000000000000;3,790092000000000;-9,506700000000000;-36,022799999999997
43;39901900;2020;AL;SEMARH;Rio Sumauma;1;2,000000000000000;7,515000000000000;7,500000000000000;7,530000000000000;0,021213000000000;-9,701599999999999;-36,032699999999998
