OBJECTID;cdestacao;ano;sguf;entidade;corpodagua;ambiente;nup;medp;minp;maxp;devp;latitude;longitude
1;BS081;2020;MG;IGAM;Rio Muriaé;1;8,000000000000000;0,121250000000000;0,020000000000000;0,200000000000000;0,060341000000000;-21,137499999999999;-42,340139999999998
2;UR005;2020;MG;IGAM;Rio Urucuia;1;7,000000000000000;0,050000000000000;0,020000000000000;0,080000000000000;0,027080000000000;-14,400000000000000;-45,759999999999998
3;64504598;2020;PR;IAT;Ribeirão de Três Bocas;1;6,000000000000000;0,063500000000000;0,017000000000000;0,210000000000000;0,072842000000000;-23,410650999999998;-51,178625000000004
4;Colméia – TO;2020;TO;BRK AMBIENTAL SANETINS;Represa Garrafinha;2;4,000000000000000;0,005000000000000;0,005000000000000;0,005000000000000;0,000000000000000;-8,447600000000000;-48,462699999999998
5;Combinado – TO;2020;TO;BRK AMBIENTAL SANETINS ;Rio Palmas;1;4,000000000000000;0,021750000000000;0,005000000000000;0,072000000000000;0,033500000000000;-12,689100000000000;-46,546100000000003
6;Cristalândia – TO;2020;TO;BRK AMBIENTAL SANETINS;Rio Urubuzinho;1;5,000000000000000;0,017400000000000;0,001000000000000;0,071000000000000;0,030013000000000;-10,370799999999999;-49,111699999999999
7;Cristalândia – TO;2020;TO;BRK AMBIENTAL SANETINS;Rio Urubuzinho;1;5,000000000000000;0,017400000000000;0,001000000000000;0,071000000000000;0,030013000000000;-10,370799999999999;-49,111699999999999
8;Dianópolis – TO;2020;TO;BRK AMBIENTAL SANETINS;Ribeirão Morena;1;4,000000000000000;0,004000000000000;0,001000000000000;0,005000000000000;0,002000000000000;-11,312400000000000;-46,474699999999999
9;Figueirópolis – TO;2020;TO;BRK AMBIENTAL SANETINS;Rio Santo Antonio;1;4,000000000000000;0,085325000000000;0,005000000000000;0,180300000000000;0,093519000000000;-12,065799999999999;-49,114800000000002
10;Formoso do Araguaia – TO;2020;TO;BRK AMBIENTAL SANETINS ;Represa Papagaio;2;4,000000000000000;0,025250000000000;0,005000000000000;0,086000000000000;0,040500000000000;-11,819167000000000;-49,492221999999998
11;Gurupi – TO;2020;TO;BRK AMBIENTAL SANETINS ;Córrego Bananal;1;4,000000000000000;0,016900000000000;0,005000000000000;0,052600000000000;0,023800000000000;-11,779722000000000;-49,025832999999999
12;Miracema – TO;2020;TO;BRK AMBIENTAL SANETINS;Córrego  Correntinho;1;4,000000000000000;0,005000000000000;0,005000000000000;0,005000000000000;0,000000000000000;-9,353800000000000;-48,252000000000002
13;Miranorte – TO;2020;TO;BRK AMBIENTAL SANETINS;Rio Providência;1;4,000000000000000;0,007500000000000;0,005000000000000;0,015000000000000;0,005000000000000;-9,315300000000001;-48,357500000000002
14;Natividade – TO;2020;TO;BRK AMBIENTAL SANETINS;Córrego Prainha;1;4,000000000000000;0,008775000000000;0,005000000000000;0,020100000000000;0,007550000000000;-11,425500000000000;-47,423099999999998
15;Palmas – TO;2020;TO;BRK AMBIENTAL SANETINS ;Córrego Roncador;1;10,000000000000000;0,004102000000000;0,001000000000000;0,005000000000000;0,001647000000000;-10,303847000000001;-48,136831000000001
