OBJECTID;cdestacao;ano;sguf;entidade;corpodagua;ambiente;nuturb;medturb;minturb;maxturb;devturb;latitude;longitude
1;JB1-10;2020;CE;COGERH;Jaburu I;2;8,000000000000000;2,385000000000000;1,040000000000000;3,920000000000000;0,919596000000000;-3,862632000000000;-41,112800999999997
2;GO649R17;2020;GO;SEMARH;RIO DAS ALMAS;1;5,000000000000000;8,848000000000001;0,680000000000000;21,280000000000001;8,228847000000000;-15,829972000000000;-49,247610999999999
3;PA61I23;2020;PA;SEMA;TOCANTINS;1;4,000000000000000;5,685000000000000;0,950000000000000;13,949999999999999;5,897279000000000;-2,580100000000000;-49,510500000000000
4;65001500;2020;PR;IAT;Rio Iraí;1;2,000000000000000;8,350000000000000;7,900000000000000;8,800000000000001;0,636396000000000;-25,425288000000002;-49,106564999999996
5;JAHU02500;2020;SP;CETESB;Rio Jaú;1;8,000000000000000;29,087499999999999;9,699999999999999;95,000000000000000;27,775706000000000;-22,302499999999998;-48,540278000000001
6;28200001;2020;TO;SEMARH - TOCANTINS ;Rio Lontra;1;4,000000000000000;17,522500000000001;12,430000000000000;27,070000000000000;6,635759000000000;-7,207548999999999;-48,296281999999998
7;28270000;2020;TO;SEMARH - TOCANTINS ;Rio Lontra;1;4,000000000000000;20,072500000000002;6,390000000000000;34,500000000000000;15,577176000000000;-6,565973000000001;-48,635905000000001
8;28300001;2020;TO;SEMARH - TOCANTINS ;Rio Araguaia;1;4,000000000000000;16,754999999999999;3,570000000000000;33,200000000000003;14,297087000000001;-6,402869000000000;-48,529668000000001
9;28321000;2020;TO;SEMARH - TOCANTINS;RIO CORDA;1;4,000000000000000;16,574999999999999;4,890000000000000;30,480000000000000;12,402619000000000;-6,356800000000000;-48,352070999999995
10;28845000;2020;TO;SEMARH - TOCANTINS ;Rio São Martinho;1;4,000000000000000;38,572499999999998;1,590000000000000;93,370000000000005;43,566634000000001;-5,789201000000000;-48,177341000000006
11;28850001;2020;TO;SEMARH - TOCANTINS ;Rio Araguaia;1;4,000000000000000;18,094999999999999;2,150000000000000;35,729999999999997;16,840795000000000;-5,709506000000000;-48,172128000000001
